group,question,answer,count
Student,comparing_schools_interested,Maybe,4
Student,comparing_schools_interested,No,2
Student,comparing_schools_interested,Yes,8
Parent,comparing_schools_interested,Yes,20
Teacher,comparing_schools_interested,Maybe,2
Teacher,comparing_schools_interested,No,1
Teacher,comparing_schools_interested,Yes,2
Student,location_useful,Maybe,3
Student,location_useful,No,1
Student,location_useful,Yes,10
Parent,location_useful,Maybe,6
Parent,location_useful,No,1
Parent,location_useful,Yes,13
Teacher,location_useful,Maybe,2
Teacher,location_useful,Yes,3
Student,website_or_app,Mobile App,4
Student,website_or_app,Websie,10
Parent,website_or_app,Mobile App,11
Parent,website_or_app,Websie,9
Teacher,website_or_app,Mobile App,1
Teacher,website_or_app,Websie,4
Student,access_data_importance,1,1
Student,access_data_importance,2,2
Student,access_data_importance,3,3
Student,access_data_importance,4,6
Student,access_data_importance,5,2
Parent,access_data_importance,3,2
Parent,access_data_importance,4,4
Parent,access_data_importance,5,14
Teacher,access_data_importance,1,1
Teacher,access_data_importance,3,2
Teacher,access_data_importance,4,1
Teacher,access_data_importance,5,1
Student,often_academic_compare,1,1
Student,often_academic_compare,2,8
Student,often_academic_compare,3,4
Student,often_academic_compare,4,1
Parent,often_academic_compare,1,2
Parent,often_academic_compare,2,8
Parent,often_academic_compare,3,7
Parent,often_academic_compare,4,3
Teacher,often_academic_compare,1,2
Teacher,often_academic_compare,2,2
Teacher,often_academic_compare,3,1
Student,privacy_concern,2,3
Student,privacy_concern,3,3
Student,privacy_concern,4,8
Parent,privacy_concern,1,1
Parent,privacy_concern,2,1
Parent,privacy_concern,3,3
Parent,privacy_concern,4,15
Teacher,privacy_concern,2,1
Teacher,privacy_concern,3,1
Teacher,privacy_concern,4,3
